hour_route_key,weekday,date,count
01 6 S,false,2016-03-19,2
01 6 N,false,2016-03-19,4
01 4 N,false,2016-03-19,2
02 6 S,false,2016-03-19,3
02 4 S,false,2016-03-19,2
02 4 N,false,2016-03-19,3
02 6 N,false,2016-03-19,3
03 4 S,false,2016-03-19,4
03 6 S,false,2016-03-19,3
03 4 N,false,2016-03-19,3
03 6 N,false,2016-03-19,3
04 6 S,false,2016-03-19,3
04 4 S,false,2016-03-19,3
04 4 N,false,2016-03-19,3
04 6 N,false,2016-03-19,3
05 6 S,false,2016-03-19,3
05 4 S,false,2016-03-19,3
05 4 N,false,2016-03-19,4
05 6 N,false,2016-03-19,3
06 6 S,false,2016-03-19,6
06 4 S,false,2016-03-19,6
06 6 N,false,2016-03-19,4
06 4 N,false,2016-03-19,3
07 6 S,false,2016-03-19,9
07 4 S,false,2016-03-19,9
07 4 N,false,2016-03-19,8
07 6 N,false,2016-03-19,8
08 6 S,false,2016-03-19,8
08 4 S,false,2016-03-19,7
08 4 N,false,2016-03-19,8
08 6 N,false,2016-03-19,7
09 6 S,false,2016-03-19,8
09 4 S,false,2016-03-19,9
09 6 N,false,2016-03-19,9
09 4 N,false,2016-03-19,7
10 4 S,false,2016-03-19,8
10 6 S,false,2016-03-19,8
10 4 N,false,2016-03-19,9
10 6 N,false,2016-03-19,8
11 6 S,false,2016-03-19,9
11 4 S,false,2016-03-19,9
11 4 N,false,2016-03-19,8
11 6 N,false,2016-03-19,9
12 4 S,false,2016-03-19,8
12 6 S,false,2016-03-19,8
12 4 N,false,2016-03-19,8
12 6 N,false,2016-03-19,8
13 6 S,false,2016-03-19,9
13 4 S,false,2016-03-19,9
13 4 N,false,2016-03-19,8
13 6 N,false,2016-03-19,9
14 6 S,false,2016-03-19,7
14 4 S,false,2016-03-19,8
14 6 N,false,2016-03-19,8
14 4 N,false,2016-03-19,8
15 6 S,false,2016-03-19,7
15 4 S,false,2016-03-19,8
15 4 N,false,2016-03-19,8
15 6 N,false,2016-03-19,8
16 6 S,false,2016-03-19,9
16 4 S,false,2016-03-19,7
16 4 N,false,2016-03-19,7
16 6 N,false,2016-03-19,8
17 6 S,false,2016-03-19,9
17 4 S,false,2016-03-19,9
17 4 N,false,2016-03-19,9
17 6 N,false,2016-03-19,8
18 6 S,false,2016-03-19,8
18 4 S,false,2016-03-19,8
18 4 N,false,2016-03-19,9
18 6 N,false,2016-03-19,9
19 6 S,false,2016-03-19,9
19 4 S,false,2016-03-19,8
19 6 N,false,2016-03-19,9
19 4 N,false,2016-03-19,8
20 6 S,false,2016-03-19,9
20 4 S,false,2016-03-19,6
20 4 N,false,2016-03-19,7
20 6 N,false,2016-03-19,8
21 6 S,false,2016-03-19,7
21 4 S,false,2016-03-19,5
21 6 N,false,2016-03-19,8
21 4 N,false,2016-03-19,4
22 6 S,false,2016-03-19,6
22 4 S,false,2016-03-19,5
22 4 N,false,2016-03-19,6
22 6 N,false,2016-03-19,7
23 6 S,false,2016-03-19,6
23 4 S,false,2016-03-19,5
23 6 N,false,2016-03-19,7
00 4 N,false,2016-03-20,5
00 4 S,false,2016-03-20,3
00 6 N,false,2016-03-20,4
00 6 S,false,2016-03-20,3
01 6 S,false,2016-03-20,3
01 4 S,false,2016-03-20,3
01 6 N,false,2016-03-20,4
01 4 N,false,2016-03-20,3
02 6 S,false,2016-03-20,3
02 4 S,false,2016-03-20,3
02 4 N,false,2016-03-20,4
02 6 N,false,2016-03-20,3
03 6 S,false,2016-03-20,3
03 4 S,false,2016-03-20,3
03 6 N,false,2016-03-20,3
03 4 N,false,2016-03-20,3
04 6 S,false,2016-03-20,3
04 4 S,false,2016-03-20,3
04 6 N,false,2016-03-20,3
04 4 N,false,2016-03-20,3
05 6 S,false,2016-03-20,3
05 4 S,false,2016-03-20,3
05 6 N,false,2016-03-20,3
05 4 N,false,2016-03-20,2
06 6 S,false,2016-03-20,4
06 4 S,false,2016-03-20,4
06 4 N,false,2016-03-20,4
06 6 N,false,2016-03-20,3
07 6 S,false,2016-03-20,4
07 4 S,false,2016-03-20,4
07 6 N,false,2016-03-20,4
07 4 N,false,2016-03-20,4
08 6 S,false,2016-03-20,7
08 4 S,false,2016-03-20,5
08 6 N,false,2016-03-20,5
08 4 N,false,2016-03-20,5
09 6 S,false,2016-03-20,8
09 4 S,false,2016-03-20,5
09 6 N,false,2016-03-20,9
09 4 N,false,2016-03-20,5
10 6 S,false,2016-03-20,8
10 4 S,false,2016-03-20,8
10 4 N,false,2016-03-20,6
10 6 N,false,2016-03-20,8
11 6 S,false,2016-03-20,9
11 4 S,false,2016-03-20,9
11 4 N,false,2016-03-20,9
11 6 N,false,2016-03-20,9
12 6 S,false,2016-03-20,8
12 4 S,false,2016-03-20,8
12 4 N,false,2016-03-20,8
12 6 N,false,2016-03-20,7
13 6 S,false,2016-03-20,9
13 4 S,false,2016-03-20,8
13 4 N,false,2016-03-20,8
13 6 N,false,2016-03-20,8
14 6 S,false,2016-03-20,7
14 4 S,false,2016-03-20,9
14 4 N,false,2016-03-20,6
14 6 N,false,2016-03-20,9
15 6 S,false,2016-03-20,7
15 4 S,false,2016-03-20,8
15 4 N,false,2016-03-20,9
15 6 N,false,2016-03-20,7
16 6 S,false,2016-03-20,8
16 4 S,false,2016-03-20,8
16 6 N,false,2016-03-20,9
16 4 N,false,2016-03-20,7
17 6 S,false,2016-03-20,9
17 4 S,false,2016-03-20,9
17 4 N,false,2016-03-20,9
17 6 N,false,2016-03-20,7
18 6 S,false,2016-03-20,7
18 4 S,false,2016-03-20,6
18 4 N,false,2016-03-20,8
18 6 N,false,2016-03-20,8
19 6 S,false,2016-03-20,6
19 4 S,false,2016-03-20,5
19 4 N,false,2016-03-20,6
19 6 N,false,2016-03-20,8
20 6 S,false,2016-03-20,5
20 4 S,false,2016-03-20,5
20 6 N,false,2016-03-20,5
20 4 N,false,2016-03-20,5
21 6 S,false,2016-03-20,5
21 4 S,false,2016-03-20,5
21 6 N,false,2016-03-20,5
21 4 N,false,2016-03-20,5
22 6 S,false,2016-03-20,5
22 4 S,false,2016-03-20,4
22 6 N,false,2016-03-20,5
22 4 N,false,2016-03-20,5
23 4 S,false,2016-03-20,4
23 6 S,false,2016-03-20,3
23 6 N,false,2016-03-20,4
23 4 N,false,2016-03-20,4
00 4 S,true,2016-03-21,3
00 4 N,true,2016-03-21,3
23 4 S,true,2016-03-21,6
00 6 N,true,2016-03-21,4
00 6 S,true,2016-03-21,4
01 6 S,true,2016-03-21,3
23 6 N,true,2016-03-21,8
01 4 S,true,2016-03-21,3
01 4 N,true,2016-03-21,3
01 6 N,true,2016-03-21,3
02 6 S,true,2016-03-21,3
02 4 S,true,2016-03-21,3
02 6 N,true,2016-03-21,3
02 4 N,true,2016-03-21,3
03 6 S,true,2016-03-21,3
