route	trip	stop	timestamp	arrival	isValid	date
2	049900_2..N12X004	631N	1498914141	1498914100	true	2017-07-01
4	050050_4..N13X104	631N	1498915176	1498915154	true	2017-07-01
4	050350_4..S13X104	631S	1498912896	1498912860	true	2017-07-01
6	050150_6..N01X009	631N	1498912716	1498912690	true	2017-07-01
6	050150_6..S01R	631S	1498914501	1498914368	true	2017-07-01
2	050850_2..S12X004	631S	1498912416	1498912385	true	2017-07-01
4	050850_4..N13X104	631N	1498915416	1498915369	true	2017-07-01
4	047550_4..S13X104	631S	1498911231	1498911193	true	2017-07-01
2	051100_2..N12X004	631N	1498914936	1498914893	true	2017-07-01
4	051150_4..S13X104	631S	1498913301	1498913244	true	2017-07-01
6	050950_6..N01X009	631N	1498913151	1498913116	true	2017-07-01
6	050950_6..S01R	631S	1498915086	1498915061	true	2017-07-01
4	051650_4..N13X104	631N	1498916241	1498916126	true	2017-07-01
6	051750_6..N01X009	631N	1498913481	1498913456	true	2017-07-01
6	051750_6..S01R	631S	1498915446	1498915407	true	2017-07-01
4	048850_4..N13X104	631N	1498914111	1498914076	true	2017-07-01
2	052050_2..S12X004	631S	1498913106	1498913108	true	2017-07-01
2	052300_2..N12X004	631N	1498915911	1498915879	true	2017-07-01
4	051950_4..S13X104	631S	1498913886	1498913850	true	2017-07-01
4	052450_4..N13X104	631N	1498916541	1498916529	true	2017-07-01
4	052750_4..S13X104	631S	1498914291	1498914232	true	2017-07-01
6	052550_6..N01X009	631N	1498913961	1498913933	true	2017-07-01
6	052550_6..S01R	631S	1498916241	1498916203	true	2017-07-01
2	053250_2..S12X004	631S	1498913826	1498913805	true	2017-07-01
4	053250_4..N13X104	631N	1498917036	1498916977	true	2017-07-01
6	053350_6..N01X009	631N	1498914501	1498914476	true	2017-07-01
6	053350_6..S01R	631S	1498916631	1498916593	true	2017-07-01
2	053500_2..N12X004	631N	1498916466	1498916376	true	2017-07-01
4	054350_4..S13X104	631S	1498915236	1498915181	true	2017-07-01
6	054150_6..N01X009	631N	1498914906	1498914861	true	2017-07-01
6	054150_6..S01R	631S	1498916991	1498916995	true	2017-07-01
4	051550_4..S13X104	631S	1498913661	1498913606	true	2017-07-01
2	054450_2..S12X004	631S	1498914561	1498914522	true	2017-07-01
2	054700_2..N12X004	631N	1498917036	1498916978	true	2017-07-01
4	055150_4..S13X104	631S	1498915731	1498915532	true	2017-07-01
6	054950_6..N01X009	631N	1498915536	1498915516	true	2017-07-01
6	054950_6..S01R	631S	1498917606	1498917588	true	2017-07-01
2	055650_2..S12X004	631S	1498915236	1498915197	true	2017-07-01
4	055650_4..N13X104	631N	1498918296	1498918258	true	2017-07-01
6	055750_6..N01X009	631N	1498915881	1498915863	true	2017-07-01
6	055750_6..S01R	631S	1498917996	1498917972	true	2017-07-01
2	055900_2..N12X004	631N	1498917696	1498917688	true	2017-07-01
2	056850_2..S12X004	631S	1498916091	1498916058	true	2017-07-01
4	056450_4..N13X104	631N	1498918881	1498918802	true	2017-07-01
4	056750_4..S13X104	631S	1498916466	1498916404	true	2017-07-01
6	056550_6..N01X009	631N	1498916376	1498916341	true	2017-07-01
6	056550_6..S01R	631S	1498918326	1498918326	true	2017-07-01
2	057100_2..N12X004	631N	1498918521	1498918502	true	2017-07-01
4	057250_4..N13X104	631N	1498919121	1498919096	true	2017-07-01
6	057350_6..N01X009	631N	1498916811	1498916768	true	2017-07-01
6	057350_6..S01R	631S	1498919061	1498919034	true	2017-07-01
4	054450_4..N13X104	631N	1498917426	1498917419	true	2017-07-01
2	058050_2..S12X004	631S	1498916631	1498916602	true	2017-07-01
2	058300_2..N12X004	631N	1498919346	1498919315	true	2017-07-01
4	058050_4..N13X104	631N	1498919886	1498919858	true	2017-07-01
4	058350_4..S13X104	631S	1498917786	1498917737	true	2017-07-01
6	058150_6..N01X009	631N	1498917216	1498917289	true	2017-07-01
6	058150_6..S01R	631S	1498919271	1498919277	true	2017-07-01
4	055550_4..S13X104	631S	1498915941	1498915824	true	2017-07-01
4	058850_4..N13X104	631N	1498920216	1498920177	true	2017-07-01
2	059250_2..S12X004	631S	1498917426	1498917386	true	2017-07-01
4	059150_4..S13X104	631S	1498918116	1498918100	true	2017-07-01
6	058950_6..N01X009	631N	1498917786	1498917774	true	2017-07-01
6	058950_6..S01R	631S	1498919886	1498919916	true	2017-07-01
2	059500_2..N12X004	631N	1498920036	1498920013	true	2017-07-01
4	059650_4..N13X104	631N	1498920636	1498920639	true	2017-07-01
6	059750_6..N01X009	631N	1498918431	1498918392	true	2017-07-01
6	059750_6..S01R	631S	1498920606	1498920557	true	2017-07-01
4	057150_4..S13X104	631S	1498916811	1498916748	true	2017-07-01
2	060450_2..S12X004	631S	1498917996	1498917980	true	2017-07-01
2	060700_2..N12X004	631N	1498920606	1498920563	true	2017-07-01
4	060450_4..N13X104	631N	1498920981	1498920968	true	2017-07-01
4	060750_4..S13X104	631S	1498919196	1498919159	true	2017-07-01
6	060550_6..N01X009	631N	1498918971	1498918970	true	2017-07-01
6	060550_6..S01R	631S	1498920801	1498920692	true	2017-07-01
4	061250_4..N13X104	631N	1498921431	1498921388	true	2017-07-01
4	058450_4..N13X104	631N	1498920096	1498920042	true	2017-07-01
6	061350_6..N01X009	631N	1498919226	1498919227	true	2017-07-01
6	061350_6..S01R	631S	1498921581	1498921558	true	2017-07-01
2	061650_2..S12X004	631S	1498918431	1498918411	true	2017-07-01
4	061550_4..S13X104	631S	1498919541	1498919482	true	2017-07-01
2	061900_2..N12X004	631N	1498921191	1498921144	true	2017-07-01
4	062050_4..N13X104	631N	1498921956	1498921913	true	2017-07-01
6	062150_6..N01X009	631N	1498919721	1498919720	true	2017-07-01
6	062150_6..S01R	631S	1498924326	1498924307	true	2017-07-01
2	062850_2..S12X004	631S	1498919541	1498919552	true	2017-07-01
2	063100_2..N12X004	631N	1498922031	1498921994	true	2017-07-01
6	062950_6..S01R	631S	1498924566	1498924532	true	2017-07-01
4	063650_4..N13X104	631N	1498922976	1498922941	true	2017-07-01
6	063750_6..N01X009	631N	1498920801	1498920783	true	2017-07-01
6	063750_6..S01R	631S	1498922826	1498922763	true	2017-07-01
2	064050_2..S12X004	631S	1498920306	1498920265	true	2017-07-01
2	064300_2..N12X004	631N	1498922826	1498922797	true	2017-07-01
4	063950_4..S13X104	631S	1498920981	1498920953	true	2017-07-01
4	061900_4..S13X104	631S	1498919856	1498919789	true	2017-07-01
4	064750_4..S13X104	631S	1498921761	1498921703	true	2017-07-01
6	064550_6..N01X009	631N	1498921221	1498921197	true	2017-07-01
2	062050_2..S12X004	631S	1498919001	1498918944	true	2017-07-01
2	065250_2..S12X004	631S	1498921041	1498921021	true	2017-07-01
4	065250_4..N13X104	631N	1498924086	1498924039	true	2017-07-01
6	065350_6..N01X009	631N	1498921641	1498921610	true	2017-07-01
6	065350_6..S01R	631S	1498924011	1498923968	true	2017-07-01
2	065500_2..N12X004	631N	1498923336	1498923286	true	2017-07-01
4	065550_4..S13X104	631S	1498922271	1498922210	true	2017-07-01
4	066050_4..N13X104	631N	1498924956	1498924874	true	2017-07-01
6	066150_6..N01X009	631N	1498922271	1498922251	true	2017-07-01
6	066150_6..S01R	631S	1498925016	1498924978	true	2017-07-01
4	063250_4..N13X104	631N	1498922646	1498922604	true	2017-07-01
2	066450_2..S12X004	631S	1498921761	1498921750	true	2017-07-01
2	066700_2..N12X004	631N	1498924191	1498924177	true	2017-07-01
4	066850_4..N13X104	631N	1498925286	1498925215	true	2017-07-01
4	067150_4..S13X104	631S	1498923051	1498922994	true	2017-07-01
6	066950_6..N01X009	631N	1498922826	1498922785	true	2017-07-01
2	067650_2..S12X004	631S	1498922556	1498922501	true	2017-07-01
4	067650_4..N13X104	631N	1498925796	1498925755	true	2017-07-01
6	067750_6..N01X009	631N	1498923081	1498923057	true	2017-07-01
2	067900_2..N12X004	631N	1498924791	1498924751	true	2017-07-01
4	067950_4..S13X104	631S	1498923531	1498923501	true	2017-07-01
2	068850_2..S12X004	631S	1498923201	1498923187	true	2017-07-01
4	068750_4..S13X104	631S	1498924191	1498924180	true	2017-07-01
6	068550_6..N01X009	631N	1498923771	1498923734	true	2017-07-01
6	068550_6..S01R	631S	1498925796	1498925786	true	2017-07-01
2	069100_2..N12X004	631N	1498925586	1498925569	true	2017-07-01
6	069350_6..S01R	631S	1498926051	1498926029	true	2017-07-01
